ItemId,Name,tempIdDuplicate,Slot,Rating,Color,DynamicSlot,Description,Disabled,Image,Type
11,Eternal Commander MK-1 Combat Medic's Helmet,11,head,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,head_stalker.png,armor
12,Eternal Commander MK-1 Combat Medic's Legplates,12,legs,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,legs_stalker.png,armor
13,Eternal Commander MK-1 Combat Medic's Vambraces,13,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Combat Medic's Critical Bonus which causes your next Rapid Scan or Medical Probe to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) The duration of Supercharged Gas or Supercharged Cell is increased by 4 seconds.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Healing Scan or Advanced Medical Probe by 1.5 seconds.</span>,0,wrists_stalker.png,armor
14,Eternal Commander MK-1 Combat Tech's Belt,14,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,waist_stalker.png,armor
15,Eternal Commander MK-1 Combat Tech's Body Armor,15,chest,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,chest_stalker.png,armor
16,Eternal Commander MK-1 Combat Tech's Boots,16,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,feet_stalker.png,armor
17,Eternal Commander MK-1 Combat Tech's Gauntlets,17,hands,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,hands_stalker.png,armor
18,Eternal Commander MK-1 Combat Tech's Helmet,18,head,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,head_stalker.png,armor
19,Eternal Commander MK-1 Combat Tech's Legplates,19,legs,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,legs_stalker.png,armor
20,Eternal Commander MK-1 Combat Tech's Vambraces,20,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Flaming Fist and Magnetic Blast or Shockstrike and Tactical Surge increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Flaming Fist and Rocket Punch's heat is reduced by 2 or Shockstrike and Stockstrike energy cells is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Flame Burst and Magnetic Blast or Ion Pulse and Tactical Surge will grant Combat Tech's Critical Bonus making one of your next Energy Burst and Immolate or Cell Burst and Plasma Flare critically hit. This effect can't occur more than once every minute.</span>,0,wrists_stalker.png,armor
21,Eternal Commander MK-1 Eliminator's Assault Cannon,21,mainhand,228,green,barrel,,0,cannon_eliminator.png,cannon
22,Eternal Commander MK-1 Eliminator's Belt,22,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,waist_stalker.png,armor
23,Eternal Commander MK-1 Eliminator's Blaster Pistol,23,mainhand,228,green,barrel,,0,pistol_eliminator.png,pistol
24,Eternal Commander MK-1 Eliminator's Blaster Rifle,24,mainhand,228,green,barrel,,0,rifle_eliminator.png,rifle
25,Eternal Commander MK-1 Eliminator's Body Armor,25,chest,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,chest_stalker.png,armor
26,Eternal Commander MK-1 Eliminator's Boots,26,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,feet_stalker.png,armor
27,Eternal Commander MK-1 Eliminator's Gauntlets,27,hands,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,hands_stalker.png,armor
28,Eternal Commander MK-1 Eliminator's Generator,28,offhand,228,green,armoring,,0,generator_eliminator.png,generator
29,Eternal Commander MK-1 Eliminator's Helmet,29,head,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,head_stalker.png,armor
30,Eternal Commander MK-1 Eliminator's Legplates,30,legs,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,legs_stalker.png,armor
31,Eternal Commander MK-1 Eliminator's Offhand Blaster,31,offhand,228,green,barrel,,0,pistol_eliminator.png,pistol
32,Eternal Commander MK-1 Eliminator's Vambraces,32,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Heatseeker Missiles and Serrated Shot or Demolition Round and Serrated Bolt increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Energy Shield or Reactive Shield's cooldown is reduced by 15 seconds.</span><span class='description-setbonus-6'>(6) Activating Unload and Blazing Bolts or Full Auto and Boltstorm will grant Eliminator's Critical Bonus making your next Heatseeker Missiles and Mag Shot or Demolition Round and Mag Bolt critically hit. This effect can only occur once a minute.</span>,0,wrists_stalker.png,armor
33,Eternal Commander MK-1 Enforcer's Belt,33,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,waist_stalker.png,armor
34,Eternal Commander MK-1 Enforcer's Boots,34,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,feet_stalker.png,armor
35,Eternal Commander MK-1 Enforcer's Bracers,35,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,wrists_stalker.png,armor
36,Eternal Commander MK-1 Enforcer's Gloves,36,hands,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,hands_stalker.png,armor
37,Eternal Commander MK-1 Enforcer's Headgear,37,head,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,head_stalker.png,armor
38,Eternal Commander MK-1 Enforcer's Jacket,38,chest,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,chest_stalker.png,armor
39,Eternal Commander MK-1 Enforcer's Leggings,39,legs,228,green,armoring,<span class='description-setbonus-2'>(2) Laceration and Corrosive Assault or Sucker Punch and Brutal Shots increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Backstab and Lethal Strike or Backblast and Point Blank Shot's energy cost is reduced by 2.</span><span class='description-setbonus-6'>(6) Activating Shiv and Veiled Strike or Blaster Whip and Bludgeon will grant Enforcer's Critical Bonus making your next Volatile Substance and Corrosive Assault or Blood Boiler and Brutal Shots critically hit. This effect can only occur once every minute.</span>,0,legs_stalker.png,armor
40,Eternal Commander MK-1 Field Medic's Belt,40,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,waist_stalker.png,armor
41,Eternal Commander MK-1 Field Medic's Boots,41,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,feet_stalker.png,armor
42,Eternal Commander MK-1 Field Medic's Bracers,42,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,wrists_stalker.png,armor
43,Eternal Commander MK-1 Field Medic's Gloves,43,hands,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,hands_stalker.png,armor
44,Eternal Commander MK-1 Field Medic's Headgear,44,head,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,head_stalker.png,armor
45,Eternal Commander MK-1 Field Medic's Jacket,45,chest,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,chest_stalker.png,armor
46,Eternal Commander MK-1 Field Medic's Leggings,46,legs,228,green,armoring,<span class='description-setbonus-2'>(2) Activating a healing ability has a 15% chance to grant Field Medic's Critical Bonus which causes your next Kolto Injection or Underworld Medicine to be a critical. This effect can only occur once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the energy cost of Kolto Infusion or Kolto Pack by 2.</span><span class='description-setbonus-6'>(6) Reduces the cooldown of Recuperative Nanotech or Kolto Cloud by 3 seconds.</span>,0,legs_stalker.png,armor
47,Eternal Commander MK-1 Field Tech's Belt,47,waist,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,waist_stalker.png,armor
48,Eternal Commander MK-1 Field Tech's Boots,48,feet,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,feet_stalker.png,armor
49,Eternal Commander MK-1 Field Tech's Bracers,49,wrists,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,wrists_stalker.png,armor
50,Eternal Commander MK-1 Field Tech's Gloves,50,hands,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,hands_stalker.png,armor
51,Eternal Commander MK-1 Field Tech's Headgear,51,head,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,head_stalker.png,armor
52,Eternal Commander MK-1 Field Tech's Jacket,52,chest,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,chest_stalker.png,armor
53,Eternal Commander MK-1 Field Tech's Leggings,53,legs,228,green,armoring,"<span class='description-setbonus-2'>(2) Activating Explosive Probe, Ambush, and Lethal Shot; or Explosive Charge, Aimed Shot, and Dirty Blast increases damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces the cooldown of Target Acquired or Illegal Mods by 15 seconds, and activating either ability restores 15 energy.</span><span class='description-setbonus-6'>(6) Laze Target or Smuggler's Luck now has 2 charges and its duration is doubled.</span>",0,legs_stalker.png,armor
54,Eternal Commander MK-1 Field Tech's Shotgun,54,offhand,228,green,barrel,,0,shotgun_fieldtech.png,shotgun
55,Eternal Commander MK-1 Field Tech's Sniper Rifle,55,mainhand,228,green,barrel,,0,sniper_fieldtech.png,sniper
56,Eternal Commander MK-1 Field Tech's Vibroknife,56,offhand,228,green,barrel,,0,knife_fieldtech.png,knife
57,Eternal Commander MK-1 Force-Master's Belt,57,waist,228,green,armoring,<span class='description-setbonus-2'>(2) Turbulence and Force Serenity or Thundering Blast and Force Leech increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces cost of Lightning Bolt and Force Lightning or Telekinetic Burst and Telekinetic Throw by 2 and reduces the cooldown of Polarity Shift or Mental Alacrity by 15 seconds.</span><span class='description-setbonus-6'>(6) Increases Recklessness or Force Potency charges by 1.</span>,0,waist_stalker.png,armor
58,Eternal Commander MK-1 Force-Master's Boots,58,feet,228,green,armoring,<span class='description-setbonus-2'>(2) Turbulence and Force Serenity or Thundering Blast and Force Leech increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces cost of Lightning Bolt and Force Lightning or Telekinetic Burst and Telekinetic Throw by 2 and reduces the cooldown of Polarity Shift or Mental Alacrity by 15 seconds.</span><span class='description-setbonus-6'>(6) Increases Recklessness or Force Potency charges by 1.</span>,0,feet_stalker.png,armor
59,Eternal Commander MK-1 Force-Master's Cuffs,59,wrists,228,green,armoring,<span class='description-setbonus-2'>(2) Turbulence and Force Serenity or Thundering Blast and Force Leech increase damage dealt by 2% for 15 seconds. Cannot occur more than once every 30 seconds.</span><span class='description-setbonus-4'>(4) Reduces cost of Lightning Bolt and Force Lightning or Telekinetic Burst and Telekinetic Throw by 2 and reduces the cooldown of Polarity Shift or Mental Alacrity by 15 seconds.</span><span class='description-setbonus-6'>(6) Increases Recklessness or Force Potency charges by 1.</span>,0,wrists_stalker.png,armor
60,Eternal Commander MK-1 Force-Master's Focus,60,offhand,228,green,armoring,,0,focus_forcemaster.png,focus
